id,grinder,grind_size,clicks_per_round,created_at,modified_at,created_by,modified_by,version
18e9572e-0058-474f-881d-5defd1206900,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c1,200,6,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206901,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c1,200-300,7-10,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206902,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c1,300-400,10-13,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206903,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c1,400-500,13-16,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206904,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c1,500-600,16-19,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206905,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c1,600-700,19-22,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206906,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c1,700-800,22-25,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206907,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c1,800-900,25-28,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206908,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c1,900-1000,28-31,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206909,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c1,1000-1100,31-34,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206910,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c1,1100-1200,34-37,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206911,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c1,1200-1300,37-40,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
